filename,file_path,error,avg_heart_rate,max_heart_rate,min_heart_rate,avg_speed_kmh,max_speed_kmh,total_distance_m,total_distance_km,avg_power,max_power,avg_cadence,duration_seconds,duration_minutes,plot_path,csv_path
2025.05.14-ride_30455982.fit,downloads/2025.05.14-ride_30455982.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.07.18-ride_35225934.fit,downloads/2025.07.18-ride_35225934.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.06.03-ride_31888945.fit,downloads/2025.06.03-ride_31888945.fit,no numeric data to plot,,,,,,,,,,,,,,
2024.10.27-ride_22047255.fit,downloads/2024.10.27-ride_22047255.fit,no numeric data to plot,,,,,,,,,,,,,,
2024.10.27-ride_22057654.fit,downloads/2024.10.27-ride_22057654.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.10.25-ride_41238147.fit,downloads/2025.10.25-ride_41238147.fit,no numeric data to plot,,,,,,,,,,,,,,
2024.10.31-ride_22284543.fit,downloads/2024.10.31-ride_22284543.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.10.01-ride_40126815.fit,downloads/2025.10.01-ride_40126815.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.08.23-ride_37662534.fit,downloads/2025.08.23-ride_37662534.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.09.12-ride_38983680.fit,downloads/2025.09.12-ride_38983680.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.04.19-ride_28681345.fit,downloads/2025.04.19-ride_28681345.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.10.02-ride_40286856.fit,downloads/2025.10.02-ride_40286856.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.03.23-ride_27011388.fit,downloads/2025.03.23-ride_27011388.fit,no numeric data to plot,,,,,,,,,,,,,,
2025.08.31-ride_38202839.fit,downloads/2025.08.31-ride_38202839.fit,no numeric data to plot,,,,,,,,,,,,,,
